k,tphl_ps,tplh_ps,tr_ps,tf_ps
0.50,4.403,2.558,9.259,4.522
0.60,4.320,2.695,9.037,4.568
0.70,4.062,2.768,8.377,4.477
0.80,3.761,2.740,7.723,4.454
0.90,3.553,2.832,7.211,4.464
1.00,3.396,2.914,6.829,4.524
1.10,3.285,2.995,6.539,4.652
1.20,3.210,3.065,6.298,4.765
1.30,3.134,3.136,6.077,4.889
1.40,3.083,3.212,5.983,5.017
1.50,3.060,3.292,5.902,5.148
1.60,3.059,3.376,5.842,5.281
1.70,3.053,3.462,5.784,5.417
1.80,3.050,3.549,5.670,5.553
1.90,3.025,3.639,5.650,5.689
2.00,3.005,3.730,5.622,5.827
2.10,2.993,3.822,5.612,6.003
2.20,2.986,3.916,5.628,6.202
2.30,2.981,4.010,5.640,6.394
2.40,2.978,4.096,5.653,6.590
2.50,2.979,4.182,5.659,6.768
2.60,2.976,4.269,5.660,6.932
2.70,3.039,4.355,5.842,7.090
2.80,3.013,4.442,5.840,7.288
2.90,3.052,4.528,5.906,7.505
3.00,3.061,4.615,5.943,7.705
3.10,3.060,4.726,5.932,7.893
3.20,3.062,4.835,5.909,8.076
3.30,3.074,4.939,5.983,8.259
3.40,3.067,5.039,5.865,8.436
3.50,3.093,5.136,6.103,8.637
3.60,3.093,5.230,5.973,8.844
3.70,3.098,5.321,6.004,9.036
3.80,3.120,5.410,6.132,9.218
3.90,3.124,5.500,6.109,9.392
4.00,3.130,5.591,6.143,9.557
