k,tplh_ps,tphl_ps,tr_ps,tf_ps
0.50,4.325,2.602,9.166,4.406
0.60,4.258,2.717,8.997,4.455
0.70,3.983,2.713,8.426,4.517
0.80,3.766,2.746,7.726,4.437
0.90,3.531,2.791,7.174,4.440
1.00,3.395,2.871,6.780,4.487
1.10,3.269,2.984,6.497,4.644
1.20,3.215,2.996,6.213,4.573
1.30,3.135,3.101,6.086,4.719
1.40,3.100,3.202,5.992,5.013
1.50,3.062,3.271,5.922,5.151
1.60,3.023,3.347,5.839,5.295
1.70,3.010,3.431,5.793,5.442
1.80,2.990,3.518,5.761,5.589
1.90,2.964,3.606,5.741,5.738
2.00,2.980,3.696,5.743,5.887
2.10,3.015,3.787,5.749,6.034
2.20,3.031,3.878,5.724,6.187
2.30,3.018,3.969,5.673,6.395
2.40,2.980,4.061,5.761,6.599
2.50,3.024,4.153,5.749,6.797
2.60,3.017,4.245,5.694,6.991
2.70,3.001,4.338,5.635,7.181
2.80,3.004,4.432,5.672,7.368
2.90,3.008,4.523,5.706,7.552
3.00,3.015,4.607,5.736,7.711
3.10,3.020,4.691,5.760,7.889
3.20,3.061,4.777,5.837,8.074
3.30,3.074,4.863,5.949,8.261
3.40,3.089,4.949,6.032,8.449
3.50,3.102,5.044,6.094,8.625
3.60,3.115,5.162,6.138,8.798
3.70,3.130,5.308,6.214,9.029
3.80,3.089,5.400,6.037,9.195
3.90,3.127,5.493,6.115,9.352
4.00,3.157,5.590,6.335,9.505
