VGS_V,VDS_V,ID_A
0.00,0.000,-0.000000e+00
0.00,0.010,7.975929e-12
0.00,0.020,1.457065e-11
0.00,0.030,1.986965e-11
0.00,0.040,2.411129e-11
0.00,0.050,2.761860e-11
0.00,0.060,3.069692e-11
0.00,0.070,3.357212e-11
0.00,0.080,3.638988e-11
0.00,0.090,3.924029e-11
0.00,0.100,4.218050e-11
0.00,0.110,4.524935e-11
0.00,0.120,4.847567e-11
0.00,0.130,5.188287e-11
0.00,0.140,5.549150e-11
0.00,0.150,5.932075e-11
0.00,0.160,6.338933e-11
0.00,0.170,6.771602e-11
0.00,0.180,7.232005e-11
0.00,0.190,7.722139e-11
0.00,0.200,8.244091e-11
0.00,0.210,8.800058e-11
0.00,0.220,9.392361e-11
0.00,0.230,1.002346e-10
0.00,0.240,1.069595e-10
0.00,0.250,1.141260e-10
0.00,0.260,1.217636e-10
0.00,0.270,1.299036e-10
0.00,0.280,1.385791e-10
0.00,0.290,1.478256e-10
0.00,0.300,1.576808e-10
0.00,0.310,1.681848e-10
0.00,0.320,1.793804e-10
0.00,0.330,1.913131e-10
0.00,0.340,2.040315e-10
0.00,0.350,2.175872e-10
0.00,0.360,2.320352e-10
0.00,0.370,2.474345e-10
0.00,0.380,2.638474e-10
0.00,0.390,2.813410e-10
0.00,0.400,2.999863e-10
0.00,0.410,3.198595e-10
0.00,0.420,3.410416e-10
0.00,0.430,3.636193e-10
0.00,0.440,3.876851e-10
0.00,0.450,4.133378e-10
0.00,0.460,4.406831e-10
0.00,0.470,4.698338e-10
0.00,0.480,5.009106e-10
0.00,0.490,5.340427e-10
0.00,0.500,5.693683e-10
0.00,0.510,6.070352e-10
0.00,0.520,6.472017e-10
0.00,0.530,6.900375e-10
0.00,0.540,7.357243e-10
0.00,0.550,7.844567e-10
0.00,0.560,8.364434e-10
0.00,0.570,8.919084e-10
0.00,0.580,9.510916e-10
0.00,0.590,1.014251e-09
0.00,0.600,1.081662e-09
0.00,0.610,1.153622e-09
0.00,0.620,1.230451e-09
0.00,0.630,1.312489e-09
0.00,0.640,1.400104e-09
0.00,0.650,1.493693e-09
0.00,0.660,1.593678e-09
0.00,0.670,1.700517e-09
0.00,0.680,1.814700e-09
0.00,0.690,1.936754e-09
0.00,0.700,2.067248e-09
0.00,0.710,2.206790e-09
0.00,0.720,2.356038e-09
0.00,0.730,2.515698e-09
0.00,0.740,2.686529e-09
0.00,0.750,2.869350e-09
0.00,0.760,3.065040e-09
0.00,0.770,3.274547e-09
0.00,0.780,3.498889e-09
0.00,0.790,3.739164e-09
0.00,0.800,3.996554e-09
0.10,0.000,-1.220572e-14
0.10,0.010,1.060001e-10
0.10,0.020,1.935442e-10
0.10,0.030,2.637720e-10
0.10,0.040,3.198690e-10
0.10,0.050,3.661425e-10
0.10,0.060,4.066598e-10
0.10,0.070,4.444259e-10
0.10,0.080,4.813766e-10
0.10,0.090,5.187059e-10
0.10,0.100,5.571692e-10
0.10,0.110,5.972769e-10
0.10,0.120,6.394059e-10
0.10,0.130,6.838598e-10
0.10,0.140,7.309038e-10
0.10,0.150,7.807840e-10
0.10,0.160,8.337391e-10
0.10,0.170,8.900077e-10
0.10,0.180,9.498337e-10
0.10,0.190,1.013469e-09
0.10,0.200,1.081176e-09
0.10,0.210,1.153232e-09
0.10,0.220,1.229927e-09
0.10,0.230,1.311567e-09
0.10,0.240,1.398479e-09
0.10,0.250,1.491006e-09
