VGS_V,VDS_V,ID_A
-0.80,-0.800,4.969744e-05
-0.80,-0.790,4.924760e-05
-0.80,-0.780,4.880053e-05
-0.80,-0.770,4.835582e-05
-0.80,-0.760,4.791308e-05
-0.80,-0.750,4.747199e-05
-0.80,-0.740,4.703226e-05
-0.80,-0.730,4.659365e-05
-0.80,-0.720,4.615597e-05
-0.80,-0.710,4.571903e-05
-0.80,-0.700,4.528269e-05
-0.80,-0.690,4.484680e-05
-0.80,-0.680,4.441125e-05
-0.80,-0.670,4.397594e-05
-0.80,-0.660,4.354075e-05
-0.80,-0.650,4.310559e-05
-0.80,-0.640,4.267036e-05
-0.80,-0.630,4.223496e-05
-0.80,-0.620,4.179928e-05
-0.80,-0.610,4.136320e-05
-0.80,-0.600,4.092660e-05
-0.80,-0.590,4.048934e-05
-0.80,-0.580,4.005127e-05
-0.80,-0.570,3.961223e-05
-0.80,-0.560,3.917202e-05
-0.80,-0.550,3.873045e-05
-0.80,-0.540,3.828728e-05
-0.80,-0.530,3.784225e-05
-0.80,-0.520,3.739509e-05
-0.80,-0.510,3.694547e-05
-0.80,-0.500,3.649305e-05
-0.80,-0.490,3.603743e-05
-0.80,-0.480,3.557819e-05
-0.80,-0.470,3.511486e-05
-0.80,-0.460,3.464690e-05
-0.80,-0.450,3.417376e-05
-0.80,-0.440,3.369482e-05
-0.80,-0.430,3.320944e-05
-0.80,-0.420,3.271691e-05
-0.80,-0.410,3.221652e-05
-0.80,-0.400,3.170754e-05
-0.80,-0.390,3.118922e-05
-0.80,-0.380,3.066082e-05
-0.80,-0.370,3.012165e-05
-0.80,-0.360,2.957103e-05
-0.80,-0.350,2.900835e-05
-0.80,-0.340,2.843306e-05
-0.80,-0.330,2.784467e-05
-0.80,-0.320,2.724276e-05
-0.80,-0.310,2.662698e-05
-0.80,-0.300,2.599702e-05
-0.80,-0.290,2.535265e-05
-0.80,-0.280,2.469364e-05
-0.80,-0.270,2.401985e-05
-0.80,-0.260,2.333113e-05
-0.80,-0.250,2.262737e-05
-0.80,-0.240,2.190847e-05
-0.80,-0.230,2.117436e-05
-0.80,-0.220,2.042497e-05
-0.80,-0.210,1.966024e-05
-0.80,-0.200,1.888013e-05
-0.80,-0.190,1.808458e-05
-0.80,-0.180,1.727356e-05
-0.80,-0.170,1.644704e-05
-0.80,-0.160,1.560498e-05
-0.80,-0.150,1.474735e-05
-0.80,-0.140,1.387412e-05
-0.80,-0.130,1.298527e-05
-0.80,-0.120,1.208078e-05
-0.80,-0.110,1.116062e-05
-0.80,-0.100,1.022478e-05
-0.80,-0.090,9.273228e-06
-0.80,-0.080,8.305956e-06
-0.80,-0.070,7.322944e-06
-0.80,-0.060,6.324178e-06
-0.80,-0.050,5.309642e-06
-0.80,-0.040,4.279324e-06
-0.80,-0.030,3.233211e-06
-0.80,-0.020,2.171293e-06
-0.80,-0.010,1.093559e-06
-0.80,0.000,-3.989252e-16
-0.70,-0.800,3.926018e-05
-0.70,-0.790,3.881784e-05
-0.70,-0.780,3.838254e-05
-0.70,-0.770,3.795348e-05
-0.70,-0.760,3.752994e-05
-0.70,-0.750,3.711127e-05
-0.70,-0.740,3.669690e-05
-0.70,-0.730,3.628632e-05
-0.70,-0.720,3.587908e-05
-0.70,-0.710,3.547478e-05
-0.70,-0.700,3.507308e-05
-0.70,-0.690,3.467368e-05
-0.70,-0.680,3.427633e-05
-0.70,-0.670,3.388082e-05
-0.70,-0.660,3.348695e-05
-0.70,-0.650,3.309458e-05
-0.70,-0.640,3.270358e-05
-0.70,-0.630,3.231382e-05
-0.70,-0.620,3.192523e-05
-0.70,-0.610,3.153771e-05
-0.70,-0.600,3.115120e-05
-0.70,-0.590,3.076563e-05
-0.70,-0.580,3.038093e-05
-0.70,-0.570,2.999706e-05
-0.70,-0.560,2.961395e-05
-0.70,-0.550,2.923153e-05
-0.70,-0.540,2.884975e-05
-0.70,-0.530,2.846853e-05
-0.70,-0.520,2.808780e-05
-0.70,-0.510,2.770745e-05
-0.70,-0.500,2.732740e-05
-0.70,-0.490,2.694754e-05
-0.70,-0.480,2.656773e-05
-0.70,-0.470,2.618783e-05
-0.70,-0.460,2.580770e-05
-0.70,-0.450,2.542713e-05
-0.70,-0.440,2.504593e-05
-0.70,-0.430,2.466386e-05
-0.70,-0.420,2.428065e-05
