frequency,Vgate,Ir,Ii,Vr,Vi,C_gg
10.0,0.2,-9.523632000000002e-16,-1.9714e-18,0.001,0.0,3.1375805481136245e-17
11.22018,0.2,-9.523632000000002e-16,-2.2120000000000002e-18,0.001,0.0,3.137656740972717e-17
12.58925,0.2,-9.523632000000002e-16,-2.4819000000000003e-18,0.001,0.0,3.137650402206447e-17
14.12538,0.2,-9.523632000000002e-16,-2.7847000000000003e-18,0.001,0.0,3.1376059973466274e-17
15.84893,0.2,-9.523632000000002e-16,-3.1245000000000002e-18,0.001,0.0,3.137622664057618e-17
17.78279,0.2,-9.523632000000002e-16,-3.5057000000000005e-18,0.001,0.0,3.1375812456721223e-17
19.95262,0.2,-9.523632000000002e-16,-3.9335e-18,0.001,0.0,3.137612848096993e-17
22.38721,0.2,-9.523632000000002e-16,-4.413400000000001e-18,0.001,0.0,3.137570183340269e-17
25.11886,0.2,-9.523632000000002e-16,-4.9519000000000006e-18,0.001,0.0,3.137560234408554e-17
28.18383,0.2,-9.523632000000002e-16,-5.5562e-18,0.001,0.0,3.137602997205095e-17
31.62278,0.2,-9.523632000000002e-16,-6.2341e-18,0.001,0.0,3.137573074629064e-17
35.48134,0.2,-9.523632000000002e-16,-6.9948e-18,0.001,0.0,3.1375844202591824e-17
39.81072,0.2,-9.523632000000002e-16,-7.8483e-18,0.001,0.0,3.1375864085555905e-17
44.66836,0.2,-9.523632000000002e-16,-8.8059e-18,0.001,0.0,3.1375732473117915e-17
50.11872,0.2,-9.523632000000002e-16,-9.8804e-18,0.001,0.0,3.137579131560348e-17
56.23413,0.2,-9.523632000000002e-16,-1.1086000000000001e-17,0.001,0.0,3.13758157033238e-17
63.09573,0.2,-9.523632000000002e-16,-1.2438700000000001e-17,0.001,0.0,3.1375825125363616e-17
70.79458,0.2,-9.523632000000002e-16,-1.39565e-17,0.001,0.0,3.1375932497403584e-17
79.43282,0.2,-9.523632000000002e-16,-1.5659400000000002e-17,0.001,0.0,3.1375833262034836e-17
89.12509,0.2,-9.523632000000002e-16,-1.7570200000000002e-17,0.001,0.0,3.137594790774652e-17
100.0,0.2,-9.523632000000002e-16,-1.97141e-17,0.001,0.0,3.137596463607934e-17
112.20185,0.2,-9.523632000000002e-16,-2.21195e-17,0.001,0.0,3.137584419259735e-17
125.89254,0.2,-9.523632000000002e-16,-2.48185e-17,0.001,0.0,3.137586194643626e-17
141.25375,0.2,-9.523632000000002e-16,-2.78468e-17,0.001,0.0,3.1375845733592146e-17
158.48932,0.2,-9.523632000000002e-16,-3.12447e-17,0.001,0.0,3.137592142122474e-17
177.82794,0.2,-9.523632000000002e-16,-3.50571e-17,0.001,0.0,3.1375894898556904e-17
199.52623,0.2,-9.523632000000002e-16,-3.93347e-17,0.001,0.0,3.1375884464096655e-17
223.87211,0.2,-9.523632000000002e-16,-4.4134300000000004e-17,0.001,0.0,3.137591370761028e-17
251.18864,0.2,-9.523632000000002e-16,-4.9519500000000005e-17,0.001,0.0,3.1375914151368916e-17
281.83829,0.2,-9.523632000000002e-16,-5.55618e-17,0.001,0.0,3.137591814470373e-17
316.22777,0.2,-9.523632000000002e-16,-6.23413e-17,0.001,0.0,3.137588471048819e-17
354.81339,0.2,-9.523632000000002e-16,-6.99481e-17,0.001,0.0,3.1375889942840666e-17
398.10717,0.2,-9.523632000000002e-16,-7.84831e-17,0.001,0.0,3.137590642784839e-17
446.68359,0.2,-9.523632000000002e-16,-8.805950000000001e-17,0.001,0.0,3.137591132730164e-17
501.18723,0.2,-9.523632000000002e-16,-9.88043e-17,0.001,0.0,3.1375884704274196e-17
562.34133,0.2,-9.523632000000002e-16,-1.108603e-16,0.001,0.0,3.137589893606157e-17
630.95734,0.2,-9.523632000000002e-16,-1.243873e-16,0.001,0.0,3.1375898809346625e-17
707.94578,0.2,-9.523632000000002e-16,-1.395648e-16,0.001,0.0,3.1375888421330445e-17
794.32823,0.2,-9.523632000000002e-16,-1.565943e-16,0.001,0.0,3.1375892186300855e-17
891.25094,0.2,-9.523632000000002e-16,-1.757017e-16,0.001,0.0,3.137589292713595e-17
1000.0,0.2,-9.523632000000002e-16,-1.9714060000000002e-16,0.001,0.0,3.137590097410211e-17
1122.02,0.2,-9.523632000000002e-16,-2.2119540000000001e-16,0.001,0.0,3.1375858985748053e-17
1258.93,0.2,-9.523632000000002e-16,-2.4818530000000005e-16,0.001,0.0,3.1375785228523413e-17
1412.54,0.2,-9.523632000000002e-16,-2.7846850000000004e-16,0.001,0.0,3.137584653913197e-17
1584.8899999999999,0.2,-9.523632000000002e-16,-3.124468e-16,0.001,0.0,3.137596468729364e-17
1778.28,0.2,-9.523632000000002e-16,-3.5057100000000006e-16,0.001,0.0,3.1375884312183036e-17
1995.26,0.2,-9.523632000000002e-16,-3.9334720000000003e-16,0.001,0.0,3.137593658538556e-17
2238.72,0.2,-9.523632000000002e-16,-4.4134280000000003e-16,0.001,0.0,3.1375914905846986e-17
2511.8900000000003,0.2,-9.523632000000002e-16,-4.951948e-16,0.001,0.0,3.1375856511790916e-17
2818.38,0.2,-9.523632000000002e-16,-5.556177000000001e-16,0.001,0.0,3.137593348815624e-17
3162.28,0.2,-9.523632000000002e-16,-6.234133000000001e-16,0.001,0.0,3.13758769888279e-17
3548.13,0.2,-9.523632000000002e-16,-6.994812e-16,0.001,0.0,3.137593340149618e-17
3981.0699999999997,0.2,-9.523632000000002e-16,-7.848308e-16,0.001,0.0,3.137591183042918e-17
4466.84,0.2,-9.523632000000002e-16,-8.805947e-16,0.001,0.0,3.1375871839046094e-17
5011.87,0.2,-9.523632000000002e-16,-9.880435000000001e-16,0.001,0.0,3.137591498079901e-17
5623.41,0.2,-9.523632000000002e-16,-1.1086000000000001e-15,0.001,0.0,3.1375832441823594e-17
6309.57,0.2,-9.523632000000002e-16,-1.2439000000000002e-15,0.001,0.0,3.137659677474197e-17
7079.46,0.2,-9.523632000000002e-16,-1.3956e-15,0.001,0.0,3.1374799572149446e-17
7943.28,0.2,-9.523632000000002e-16,-1.5659000000000003e-15,0.001,0.0,3.1375039704958025e-17
8912.509999999998,0.2,-9.523632000000002e-16,-1.757e-15,0.001,0.0,3.137558723776581e-17
10000.0,0.2,-9.523632000000002e-16,-1.9714e-15,0.001,0.0,3.137580548113625e-17
11220.179999999998,0.2,-9.523632000000002e-16,-2.2120000000000004e-15,0.001,0.0,3.137656740972717e-17
12589.25,0.2,-9.523632000000002e-16,-2.4819000000000004e-15,0.001,0.0,3.137650402206447e-17
14125.38,0.2,-9.523632000000002e-16,-2.7847e-15,0.001,0.0,3.137605997346627e-17
15848.929999999998,0.2,-9.523632000000002e-16,-3.1245e-15,0.001,0.0,3.137622664057618e-17
17782.789999999997,0.2,-9.523632000000002e-16,-3.5057e-15,0.001,0.0,3.1375812456721223e-17
19952.62,0.2,-9.523632000000002e-16,-3.9335000000000005e-15,0.001,0.0,3.137612848096994e-17
22387.21,0.2,-9.523632000000002e-16,-4.4134e-15,0.001,0.0,3.137570183340269e-17
25118.86,0.2,-9.523632000000002e-16,-4.951900000000001e-15,0.001,0.0,3.137560234408555e-17
28183.83,0.2,-9.523632000000002e-16,-5.5562e-15,0.001,0.0,3.137602997205095e-17
31622.78,0.2,-9.523632000000002e-16,-6.2341e-15,0.001,0.0,3.1375730746290645e-17
35481.340000000004,0.2,-9.523632000000002e-16,-6.9948e-15,0.001,0.0,3.1375844202591824e-17
39810.72,0.2,-9.523632000000002e-16,-7.848300000000001e-15,0.001,0.0,3.137586408555591e-17
44668.36,0.2,-9.523632000000002e-16,-8.8059e-15,0.001,0.0,3.1375732473117915e-17
50118.72,0.2,-9.523632000000002e-16,-9.8804e-15,0.001,0.0,3.137579131560349e-17
56234.13,0.2,-9.523632000000002e-16,-1.1086e-14,0.001,0.0,3.13758157033238e-17
63095.73,0.2,-9.523632000000002e-16,-1.2438700000000002e-14,0.001,0.0,3.137582512536361e-17
70794.58,0.2,-9.523632000000002e-16,-1.3956500000000002e-14,0.001,0.0,3.137593249740358e-17
79432.82,0.2,-9.523632000000002e-16,-1.56594e-14,0.001,0.0,3.1375833262034836e-17
89125.09,0.2,-9.523632000000002e-16,-1.75702e-14,0.001,0.0,3.137594790774651e-17
100000.0,0.2,-9.523632000000002e-16,-1.97141e-14,0.001,0.0,3.1375964636079344e-17
112201.84999999999,0.2,-9.523632000000002e-16,-2.21195e-14,0.001,0.0,3.137584419259735e-17
125892.54,0.2,-9.523632000000002e-16,-2.4818500000000004e-14,0.001,0.0,3.1375861946436264e-17
141253.75,0.2,-9.523632000000002e-16,-2.7846800000000004e-14,0.001,0.0,3.137584573359215e-17
158489.31999999998,0.2,-9.523632000000002e-16,-3.124470000000001e-14,0.001,0.0,3.1375921421224754e-17
177827.94,0.2,-9.523632000000002e-16,-3.50571e-14,0.001,0.0,3.137589489855691e-17
199526.23,0.2,-9.523632000000002e-16,-3.93347e-14,0.001,0.0,3.1375884464096655e-17
223872.11,0.2,-9.523632000000002e-16,-4.4134300000000006e-14,0.001,0.0,3.137591370761029e-17
251188.63999999998,0.2,-9.523632000000002e-16,-4.95195e-14,0.001,0.0,3.1375914151368916e-17
281838.29,0.2,-9.523632000000002e-16,-5.55618e-14,0.001,0.0,3.137591814470373e-17
316227.77,0.2,-9.523632000000002e-16,-6.23413e-14,0.001,0.0,3.137588471048818e-17
354813.39,0.2,-9.523632000000002e-16,-6.99481e-14,0.001,0.0,3.1375889942840666e-17
398107.17,0.2,-9.523632000000002e-16,-7.84831e-14,0.001,0.0,3.137590642784839e-17
446683.58999999997,0.2,-9.523632000000002e-16,-8.805950000000001e-14,0.001,0.0,3.137591132730164e-17
501187.23,0.2,-9.523632000000002e-16,-9.88043e-14,0.001,0.0,3.1375884704274196e-17
562341.33,0.2,-9.523632000000002e-16,-1.108603e-13,0.001,0.0,3.137589893606157e-17
630957.3400000001,0.2,-9.523632000000002e-16,-1.243873e-13,0.001,0.0,3.137589880934662e-17
707945.78,0.2,-9.523632000000002e-16,-1.395648e-13,0.001,0.0,3.137588842133045e-17
794328.23,0.2,-9.523632000000002e-16,-1.5659430000000003e-13,0.001,0.0,3.1375892186300855e-17
891250.9400000001,0.2,-9.523632000000002e-16,-1.757017e-13,0.001,0.0,3.137589292713595e-17
1000000.0,0.2,-9.523632000000002e-16,-1.9714060000000002e-13,0.001,0.0,3.137590097410211e-17
1122020.0,0.2,-9.523632000000002e-16,-2.2119540000000003e-13,0.001,0.0,3.137585898574805e-17
1258930.0,0.2,-9.523632000000002e-16,-2.4818530000000004e-13,0.001,0.0,3.1375785228523413e-17
1412540.0,0.2,-9.523632000000002e-16,-2.784685e-13,0.001,0.0,3.137584653913196e-17
1584890.0,0.2,-9.523632000000002e-16,-3.124468e-13,0.001,0.0,3.1375964687293636e-17
1778280.0,0.2,-9.523632000000002e-16,-3.5057100000000006e-13,0.001,0.0,3.1375884312183036e-17
1995260.0,0.2,-9.523632000000002e-16,-3.9334720000000003e-13,0.001,0.0,3.1375936585385554e-17
2238720.0,0.2,-9.523632000000002e-16,-4.4134280000000007e-13,0.001,0.0,3.1375914905846986e-17
2511890.0,0.2,-9.523632000000002e-16,-4.951948e-13,0.001,0.0,3.137585651179092e-17
2818380.0,0.2,-9.523632000000002e-16,-5.556177000000001e-13,0.001,0.0,3.1375933488156244e-17
3162280.0,0.2,-9.523632000000002e-16,-6.234133000000001e-13,0.001,0.0,3.1375876988827896e-17
3548130.0,0.2,-9.523632000000002e-16,-6.994812e-13,0.001,0.0,3.137593340149618e-17
3981070.0,0.2,-9.523632000000002e-16,-7.848308000000001e-13,0.001,0.0,3.137591183042918e-17
4466840.0,0.2,-9.523632000000002e-16,-8.805947000000001e-13,0.001,0.0,3.1375871839046094e-17
5011870.0,0.2,-9.523632000000002e-16,-9.880435e-13,0.001,0.0,3.137591498079901e-17
5623410.0,0.2,-9.523632000000002e-16,-1.1086e-12,0.001,0.0,3.137583244182359e-17
6309570.0,0.2,-9.523632000000002e-16,-1.2439e-12,0.001,0.0,3.1376596774741955e-17
7079460.0,0.2,-9.523632000000002e-16,-1.3955999999999998e-12,0.001,0.0,3.1374799572149446e-17
7943280.0,0.2,-9.523632000000002e-16,-1.5659e-12,0.001,0.0,3.137503970495801e-17
8912510.0,0.2,-9.523632000000002e-16,-1.7569999999999999e-12,0.001,0.0,3.13755872377658e-17
10000000.0,0.2,-9.523632000000002e-16,-1.9714e-12,0.001,0.0,3.1375805481136245e-17
11220180.0,0.2,-9.523632000000002e-16,-2.2120000000000003e-12,0.001,0.0,3.1376567409727164e-17
12589250.0,0.2,-9.523632000000002e-16,-2.4818999999999998e-12,0.001,0.0,3.137650402206446e-17
14125380.0,0.2,-9.523632000000002e-16,-2.7847e-12,0.001,0.0,3.137605997346627e-17
15848930.0,0.2,-9.523632000000002e-16,-3.1245e-12,0.001,0.0,3.1376226640576176e-17
17782790.0,0.2,-9.523632000000002e-16,-3.5057e-12,0.001,0.0,3.137581245672121e-17
19952620.0,0.2,-9.523632000000002e-16,-3.9335e-12,0.001,0.0,3.137612848096993e-17
22387210.0,0.2,-9.523632000000002e-16,-4.4134e-12,0.001,0.0,3.137570183340268e-17
25118860.0,0.2,-9.523632000000002e-16,-4.9519e-12,0.001,0.0,3.1375602344085544e-17
28183830.0,0.2,-9.523632000000002e-16,-5.556199999999999e-12,0.001,0.0,3.137602997205095e-17
31622780.0,0.2,-9.523632000000002e-16,-6.2341e-12,0.001,0.0,3.137573074629064e-17
35481340.0,0.2,-9.523632000000002e-16,-6.994799999999999e-12,0.001,0.0,3.1375844202591824e-17
39810720.0,0.2,-9.523632000000002e-16,-7.8483e-12,0.001,0.0,3.1375864085555905e-17
44668360.0,0.2,-9.523632000000002e-16,-8.8059e-12,0.001,0.0,3.1375732473117915e-17
50118720.0,0.2,-9.523632000000002e-16,-9.880399999999999e-12,0.001,0.0,3.1375791315603476e-17
56234130.0,0.2,-9.523632000000002e-16,-1.1086e-11,0.001,0.0,3.13758157033238e-17
63095730.0,0.2,-9.523632000000002e-16,-1.24387e-11,0.001,0.0,3.1375825125363616e-17
70794580.0,0.2,-9.523632000000002e-16,-1.39565e-11,0.001,0.0,3.137593249740357e-17
79432820.0,0.2,-9.523632000000002e-16,-1.56594e-11,0.001,0.0,3.1375833262034836e-17
89125090.0,0.2,-9.523632000000002e-16,-1.75702e-11,0.001,0.0,3.137594790774651e-17
100000000.0,0.2,-9.523632000000002e-16,-1.9714099999999997e-11,0.001,0.0,3.137596463607934e-17
112201850.0,0.2,-9.523632000000002e-16,-2.21195e-11,0.001,0.0,3.137584419259735e-17
125892540.0,0.2,-9.523632000000002e-16,-2.48185e-11,0.001,0.0,3.137586194643626e-17
141253750.0,0.2,-9.523632000000002e-16,-2.78468e-11,0.001,0.0,3.1375845733592146e-17
158489320.0,0.2,-9.523632000000002e-16,-3.12447e-11,0.001,0.0,3.137592142122474e-17
177827940.0,0.2,-9.523632000000002e-16,-3.50571e-11,0.001,0.0,3.137589489855691e-17
199526230.0,0.2,-9.523632000000002e-16,-3.93347e-11,0.001,0.0,3.1375884464096655e-17
223872110.0,0.2,-9.527969000000002e-16,-4.41343e-11,0.001,0.0,3.137591370761028e-17
251188640.0,0.2,-9.527969000000002e-16,-4.95195e-11,0.001,0.0,3.1375914151368916e-17
281838290.0,0.2,-9.532306e-16,-5.55618e-11,0.001,0.0,3.1375918144703723e-17
316227770.0,0.2,-9.536642e-16,-6.234129999999999e-11,0.001,0.0,3.137588471048818e-17
354813390.0,0.2,-9.536642e-16,-6.994809999999999e-11,0.001,0.0,3.137588994284067e-17
398107170.0,0.2,-9.55399e-16,-7.848309999999999e-11,0.001,0.0,3.1375906427848384e-17
446683590.0,0.2,-9.558326000000001e-16,-8.80595e-11,0.001,0.0,3.1375911327301633e-17
501187230.0,0.2,-9.571337e-16,-9.88043e-11,0.001,0.0,3.1375884704274196e-17
562341330.0,0.2,-9.58001e-16,-1.108603e-10,0.001,0.0,3.137589893606156e-17
630957340.0,0.2,-9.597358e-16,-1.243873e-10,0.001,0.0,3.1375898809346625e-17
707945780.0,0.2,-9.614705000000001e-16,-1.3956479999999999e-10,0.001,0.0,3.1375888421330445e-17
794328230.0,0.2,-9.632052e-16,-1.565943e-10,0.001,0.0,3.1375892186300855e-17
891250940.0,0.2,-9.666747000000001e-16,-1.757017e-10,0.001,0.0,3.137589292713595e-17
