frequency,Vgate,Ir,Ii,Vr,Vi,C_gg
10.0,0.2,-3.64327e-14,-1.1639e-18,0.001,0.0,1.8524043826465698e-17
11.22018,0.2,-3.64327e-14,-1.3059000000000001e-18,0.001,0.0,1.852380622982039e-17
12.58925,0.2,-3.64327e-14,-1.4653000000000002e-18,0.001,0.0,1.852451401890933e-17
14.12538,0.2,-3.64327e-14,-1.6441e-18,0.001,0.0,1.8524573635356015e-17
15.84893,0.2,-3.64327e-14,-1.8447000000000003e-18,0.001,0.0,1.8524476006999803e-17
17.78279,0.2,-3.64327e-14,-2.0697000000000002e-18,0.001,0.0,1.852369542221979e-17
19.95262,0.2,-3.64327e-14,-2.3223e-18,0.001,0.0,1.8524159952041814e-17
22.38721,0.2,-3.64327e-14,-2.6057000000000003e-18,0.001,0.0,1.8524417969659985e-17
25.11886,0.2,-3.64327e-14,-2.9236000000000004e-18,0.001,0.0,1.852414447245875e-17
28.18383,0.2,-3.64327e-14,-3.2803e-18,0.001,0.0,1.8523953622497167e-17
31.62278,0.2,-3.64327e-14,-3.6806e-18,0.001,0.0,1.8524167816492732e-17
35.48134,0.2,-3.64327e-14,-4.1297e-18,0.001,0.0,1.8524164208189432e-17
39.81072,0.2,-3.64327e-14,-4.6336000000000005e-18,0.001,0.0,1.852416495633855e-17
44.66836,0.2,-3.64327e-14,-5.199e-18,0.001,0.0,1.8524220480330236e-17
50.11872,0.2,-3.64327e-14,-5.833300000000001e-18,0.001,0.0,1.8523987235467168e-17
56.23413,0.2,-3.64327e-14,-6.5451e-18,0.001,0.0,1.8524071022895956e-17
63.09573,0.2,-3.64327e-14,-7.3437e-18,0.001,0.0,1.852401352015345e-17
70.79458,0.2,-3.64327e-14,-8.239800000000001e-18,0.001,0.0,1.8524086167169855e-17
79.43282,0.2,-3.64327e-14,-9.2452e-18,0.001,0.0,1.852407203814734e-17
89.12509,0.2,-3.64327e-14,-1.0373300000000002e-17,0.001,0.0,1.852409878267902e-17
100.0,0.2,-3.64327e-14,-1.1639e-17,0.001,0.0,1.8524043826465698e-17
112.20185,0.2,-3.64327e-14,-1.3059200000000002e-17,0.001,0.0,1.852408166911401e-17
125.89254,0.2,-3.64327e-14,-1.46527e-17,0.001,0.0,1.8524128869292926e-17
141.25375,0.2,-3.64327e-14,-1.64405e-17,0.001,0.0,1.8524016827180202e-17
158.48932,0.2,-3.64327e-14,-1.8446600000000002e-17,0.001,0.0,1.852407198944987e-17
177.82794,0.2,-3.64327e-14,-2.06974e-17,0.001,0.0,1.8524049253172443e-17
199.52623,0.2,-3.64327e-14,-2.32229e-17,0.001,0.0,1.8524077400393805e-17
223.87211,0.2,-3.64327e-14,-2.6056500000000003e-17,0.001,0.0,1.8524061682690045e-17
251.18864,0.2,-3.64327e-14,-2.92359e-17,0.001,0.0,1.8524078161895948e-17
281.83829,0.2,-3.64327e-14,-3.28032e-17,0.001,0.0,1.8524067220362646e-17
316.22777,0.2,-3.64327e-14,-3.68058e-17,0.001,0.0,1.8524068915426626e-17
354.81339,0.2,-3.64327e-14,-4.1296800000000004e-17,0.001,0.0,1.8524075018356503e-17
398.10717,0.2,-3.64327e-14,-4.63358e-17,0.001,0.0,1.852408639642799e-17
446.68359,0.2,-3.64327e-14,-5.1989600000000006e-17,0.001,0.0,1.8524078373621032e-17
501.18723,0.2,-3.64327e-14,-5.83333e-17,0.001,0.0,1.8524081393419496e-17
562.34133,0.2,-3.64327e-14,-6.5451e-17,0.001,0.0,1.8524070034666743e-17
630.95734,0.2,-3.64327e-14,-7.343720000000001e-17,0.001,0.0,1.8524062794527658e-17
707.94578,0.2,-3.64327e-14,-8.239790000000001e-17,0.001,0.0,1.8524064209255805e-17
794.32823,0.2,-3.64327e-14,-9.2452e-17,0.001,0.0,1.8524071338534584e-17
891.25094,0.2,-3.64327e-14,-1.037328e-16,0.001,0.0,1.8524062236347218e-17
1000.0,0.2,-3.64327e-14,-1.163902e-16,0.001,0.0,1.8524075657454317e-17
1122.02,0.2,-3.64327e-14,-1.3059190000000002e-16,0.001,0.0,1.8524042720060687e-17
1258.93,0.2,-3.64327e-14,-1.465265e-16,0.001,0.0,1.8523997973639996e-17
1412.54,0.2,-3.64327e-14,-1.644055e-16,0.001,0.0,1.852404037867572e-17
1584.8899999999999,0.2,-3.64327e-14,-1.8446600000000002e-16,0.001,0.0,1.852410939080288e-17
1778.28,0.2,-3.64327e-14,-2.0697420000000002e-16,0.001,0.0,1.8524060902945864e-17
1995.26,0.2,-3.64327e-14,-2.3222890000000003e-16,0.001,0.0,1.8524090777038312e-17
2238.72,0.2,-3.64327e-14,-2.605651e-16,0.001,0.0,1.8524077893722317e-17
2511.8900000000003,0.2,-3.64327e-14,-2.9235890000000003e-16,0.001,0.0,1.852404527742422e-17
2818.38,0.2,-3.64327e-14,-3.28032e-16,0.001,0.0,1.852408628088498e-17
3162.28,0.2,-3.64327e-14,-3.68058e-16,0.001,0.0,1.8524055442439258e-17
3548.13,0.2,-3.64327e-14,-4.129679e-16,0.001,0.0,1.852409089387354e-17
3981.0699999999997,0.2,-3.64327e-14,-4.633576e-16,0.001,0.0,1.8524078315427062e-17
4466.84,0.2,-3.64327e-14,-5.198957000000001e-16,0.001,0.0,1.8524050681739466e-17
5011.87,0.2,-3.64327e-14,-5.833326e-16,0.001,0.0,1.8524077192075482e-17
5623.41,0.2,-3.64327e-14,-6.545100000000001e-16,0.001,0.0,1.85240809051939e-17
6309.57,0.2,-3.64327e-14,-7.343723e-16,0.001,0.0,1.8524080343789563e-17
7079.46,0.2,-3.64327e-14,-8.239792000000001e-16,0.001,0.0,1.852406294899688e-17
7943.28,0.2,-3.64327e-14,-9.245199000000001e-16,0.001,0.0,1.852407469859111e-17
8912.509999999998,0.2,-3.64327e-14,-1.0373000000000001e-15,0.001,0.0,1.8523560979928557e-17
10000.0,0.2,-3.64327e-14,-1.1639e-15,0.001,0.0,1.8524043826465698e-17
11220.179999999998,0.2,-3.64327e-14,-1.3059000000000002e-15,0.001,0.0,1.8523806229820395e-17
12589.25,0.2,-3.64327e-14,-1.4653000000000002e-15,0.001,0.0,1.852451401890933e-17
14125.38,0.2,-3.64327e-14,-1.6441e-15,0.001,0.0,1.8524573635356015e-17
15848.929999999998,0.2,-3.64327e-14,-1.8447e-15,0.001,0.0,1.8524476006999803e-17
17782.789999999997,0.2,-3.64327e-14,-2.0697e-15,0.001,0.0,1.852369542221979e-17
19952.62,0.2,-3.64327e-14,-2.3223e-15,0.001,0.0,1.8524159952041814e-17
22387.21,0.2,-3.64327e-14,-2.6057000000000005e-15,0.001,0.0,1.8524417969659988e-17
25118.86,0.2,-3.64327e-14,-2.9236e-15,0.001,0.0,1.852414447245875e-17
28183.83,0.2,-3.64327e-14,-3.2803e-15,0.001,0.0,1.8523953622497167e-17
31622.78,0.2,-3.64327e-14,-3.680600000000001e-15,0.001,0.0,1.8524167816492735e-17
35481.340000000004,0.2,-3.64327e-14,-4.1297e-15,0.001,0.0,1.8524164208189435e-17
39810.72,0.2,-3.64327e-14,-4.633600000000001e-15,0.001,0.0,1.8524164956338554e-17
44668.36,0.2,-3.64327e-14,-5.199e-15,0.001,0.0,1.852422048033024e-17
