frequency,Vgate,Ir,Ii,Vr,Vi,C_gg
10.0,0.2,-5.637900000000001e-18,-1.891e-18,0.001,0.0,3.009619973867741e-17
11.22018,0.2,-5.637900000000001e-18,-2.1217000000000004e-18,0.001,0.0,3.009568855027945e-17
12.58925,0.2,-5.637900000000001e-18,-2.3806e-18,0.001,0.0,3.0095856188777416e-17
14.12538,0.2,-5.637900000000001e-18,-2.671e-18,0.001,0.0,3.0094967568904515e-17
15.84893,0.2,-5.637900000000001e-18,-2.997e-18,0.001,0.0,3.0095871736856073e-17
17.78279,0.2,-5.637900000000001e-18,-3.3626e-18,0.001,0.0,3.009507572438337e-17
19.95262,0.2,-5.637900000000001e-18,-3.773000000000001e-18,0.001,0.0,3.009587714724789e-17
22.38721,0.2,-5.637900000000001e-18,-4.2333000000000004e-18,0.001,0.0,3.009533660473639e-17
25.11886,0.2,-5.637900000000001e-18,-4.7499000000000004e-18,0.001,0.0,3.009571549792441e-17
28.18383,0.2,-5.637900000000001e-18,-5.3294e-18,0.001,0.0,3.0095283491063745e-17
31.62278,0.2,-5.637900000000001e-18,-5.979700000000001e-18,0.001,0.0,3.009535572794697e-17
35.48134,0.2,-5.637900000000001e-18,-6.7094e-18,0.001,0.0,3.009565521428341e-17
39.81072,0.2,-5.637900000000001e-18,-7.528e-18,0.001,0.0,3.00953715882503e-17
44.66836,0.2,-5.637900000000001e-18,-8.446600000000001e-18,0.001,0.0,3.0095533892894284e-17
50.11872,0.2,-5.637900000000001e-18,-9.4772e-18,0.001,0.0,3.009540600140048e-17
56.23413,0.2,-5.637900000000001e-18,-1.06336e-17,0.001,0.0,3.0095424306590644e-17
63.09573,0.2,-5.637900000000001e-18,-1.1931100000000001e-17,0.001,0.0,3.009543659331166e-17
70.79458,0.2,-5.637900000000001e-18,-1.3386900000000002e-17,0.001,0.0,3.009540147956093e-17
79.43282,0.2,-5.637900000000001e-18,-1.50204e-17,0.001,0.0,3.009550595355301e-17
89.12509,0.2,-5.637900000000001e-18,-1.6853200000000002e-17,0.001,0.0,3.0095566657114524e-17
100.0,0.2,-5.637900000000001e-18,-1.8909600000000003e-17,0.001,0.0,3.009556311890505e-17
112.20185,0.2,-5.637900000000001e-18,-2.12169e-17,0.001,0.0,3.009553329188809e-17
125.89254,0.2,-5.637900000000001e-18,-2.3805700000000003e-17,0.001,0.0,3.0095467362583464e-17
