frequency,Vgate,Ir,Ii,Vr,Vi,C_gg
10.0,0.2,-2.1770780000000002e-16,-3.4623e-18,0.001,0.0,5.510421594670692e-17
11.22018,0.2,-2.1770780000000002e-16,-3.8848e-18,0.001,0.0,5.5104741895708906e-17
12.58925,0.2,-2.1770780000000002e-16,-4.3588e-18,0.001,0.0,5.510451901018357e-17
14.12538,0.2,-2.1770780000000002e-16,-4.8907000000000005e-18,0.001,0.0,5.510500108170772e-17
15.84893,0.2,-2.1770780000000002e-16,-5.4874000000000006e-18,0.001,0.0,5.510446665626428e-17
17.78279,0.2,-2.1770780000000002e-16,-6.1570000000000004e-18,0.001,0.0,5.510479427675858e-17
19.95262,0.2,-2.1770780000000002e-16,-6.908200000000001e-18,0.001,0.0,5.510425086366761e-17
22.38721,0.2,-2.1770780000000002e-16,-7.751200000000001e-18,0.001,0.0,5.51047582478522e-17
25.11886,0.2,-2.1770780000000002e-16,-8.6969e-18,0.001,0.0,5.510419758603314e-17
28.18383,0.2,-2.1770780000000002e-16,-9.758100000000002e-18,0.001,0.0,5.510428675538506e-17
31.62278,0.2,-2.1770780000000002e-16,-1.0948800000000001e-17,0.001,0.0,5.510444182720634e-17
35.48134,0.2,-2.1770780000000002e-16,-1.2284800000000001e-17,0.001,0.0,5.5104645002001494e-17
39.81072,0.2,-2.1770780000000002e-16,-1.37837e-17,0.001,0.0,5.510435352828981e-17
44.66836,0.2,-2.1770780000000002e-16,-1.5465600000000002e-17,0.001,0.0,5.5104478603692124e-17
50.11872,0.2,-2.1770780000000002e-16,-1.73527e-17,0.001,0.0,5.510451944883532e-17
56.23413,0.2,-2.1770780000000002e-16,-1.947e-17,0.001,0.0,5.510437775065075e-17
63.09573,0.2,-2.1770780000000002e-16,-2.1845700000000004e-17,0.001,0.0,5.510438091932082e-17
70.79458,0.2,-2.1770780000000002e-16,-2.45113e-17,0.001,0.0,5.510442404783494e-17
79.43282,0.2,-2.1770780000000002e-16,-2.75022e-17,0.001,0.0,5.510456604589795e-17
89.12509,0.2,-2.1770780000000002e-16,-3.0857900000000006e-17,0.001,0.0,5.510443039592329e-17
100.0,0.2,-2.1770780000000002e-16,-3.46232e-17,0.001,0.0,5.510453425659311e-17
112.20185,0.2,-2.1770780000000002e-16,-3.88478e-17,0.001,0.0,5.5104433645660315e-17
125.89254,0.2,-2.1770780000000002e-16,-4.3588000000000006e-17,0.001,0.0,5.510450150175328e-17
141.25375,0.2,-2.1770780000000002e-16,-4.8906500000000004e-17,0.001,0.0,5.510445722201202e-17
158.48932,0.2,-2.1770780000000002e-16,-5.4874000000000006e-17,0.001,0.0,5.510445970255072e-17
177.82794,0.2,-2.1770780000000002e-16,-6.15697e-17,0.001,0.0,5.510451338347094e-17
199.52623,0.2,-2.1770780000000002e-16,-6.908230000000001e-17,0.001,0.0,5.510448187768216e-17
223.87211,0.2,-2.1770780000000002e-16,-7.751160000000001e-17,0.001,0.0,5.510447141880137e-17
251.18864,0.2,-2.1770780000000002e-16,-8.69695e-17,0.001,0.0,5.510450561470691e-17
281.83829,0.2,-2.1770780000000002e-16,-9.758140000000001e-17,0.001,0.0,5.510451459178055e-17
316.22777,0.2,-2.1770780000000002e-16,-1.0948810000000001e-16,0.001,0.0,5.5104497384084096e-17
354.81339,0.2,-2.1770780000000002e-16,-1.228476e-16,0.001,0.0,5.510446713123177e-17
398.10717,0.2,-2.1770780000000002e-16,-1.378373e-16,0.001,0.0,5.5104477614508947e-17
446.68359,0.2,-2.1770780000000002e-16,-1.5465600000000001e-16,0.001,0.0,5.510447983732774e-17
501.18723,0.2,-2.1770780000000002e-16,-1.7352690000000002e-16,0.001,0.0,5.510448439480993e-17
562.34133,0.2,-2.1770780000000002e-16,-1.9470040000000002e-16,0.001,0.0,5.510448801970373e-17
630.95734,0.2,-2.1770780000000002e-16,-2.1845740000000003e-16,0.001,0.0,5.5104478323373526e-17
707.94578,0.2,-2.1770780000000002e-16,-2.4511330000000005e-16,0.001,0.0,5.510449304827649e-17
794.32823,0.2,-2.1770780000000002e-16,-2.750216e-16,0.001,0.0,5.5104483819040396e-17
891.25094,0.2,-2.1770780000000002e-16,-3.085793e-16,0.001,0.0,5.5104481495230624e-17
1000.0,0.2,-2.1770780000000002e-16,-3.462317e-16,0.001,0.0,5.510448651011018e-17
1122.02,0.2,-2.1770780000000002e-16,-3.8847840000000005e-16,0.001,0.0,5.5104416716663307e-17
1258.93,0.2,-2.1770780000000002e-16,-4.3587990000000006e-16,0.001,0.0,5.510428751352421e-17
1412.54,0.2,-2.1770780000000002e-16,-4.890653e-16,0.001,0.0,5.5104393496623623e-17
1584.8899999999999,0.2,-2.1770780000000002e-16,-5.487403000000001e-16,0.001,0.0,5.5104601088233004e-17
1778.28,0.2,-2.1770780000000002e-16,-6.156967e-16,0.001,0.0,5.5104467941138495e-17
1995.26,0.2,-2.1770780000000002e-16,-6.908231e-16,0.001,0.0,5.510455337503219e-17
2238.72,0.2,-2.1770780000000002e-16,-7.751162000000002e-16,0.001,0.0,5.5104512712892277e-17
2511.8900000000003,0.2,-2.1770780000000002e-16,-8.696947000000001e-16,0.001,0.0,5.510440763163315e-17
2818.38,0.2,-2.1770780000000002e-16,-9.758135000000001e-16,0.001,0.0,5.510454305693456e-17
3162.28,0.2,-2.1770780000000002e-16,-1.0949000000000001e-15,0.001,0.0,5.510541355962034e-17
3548.13,0.2,-2.1770780000000002e-16,-1.2285e-15,0.001,0.0,5.5105604244600226e-17
3981.0699999999997,0.2,-2.1770780000000002e-16,-1.3784000000000003e-15,0.001,0.0,5.510558054941727e-17
4466.84,0.2,-2.1770780000000002e-16,-1.5466000000000001e-15,0.001,0.0,5.5105854471153064e-17
5011.87,0.2,-2.1770780000000002e-16,-1.7353000000000002e-15,0.001,0.0,5.510549410646446e-17
5623.41,0.2,-2.1770780000000002e-16,-1.9470000000000003e-15,0.001,0.0,5.510440714796188e-17
6309.57,0.2,-2.1770780000000002e-16,-2.1846000000000004e-15,0.001,0.0,5.51051638508733e-17
7079.46,0.2,-2.1770780000000002e-16,-2.4511e-15,0.001,0.0,5.5103734043633927e-17
7943.28,0.2,-2.1770780000000002e-16,-2.7502e-15,0.001,0.0,5.51041791918868e-17
8912.509999999998,0.2,-2.1770780000000002e-16,-3.0858e-15,0.001,0.0,5.5104602787875776e-17
10000.0,0.2,-2.1770780000000002e-16,-3.4623000000000003e-15,0.001,0.0,5.510421594670693e-17
11220.179999999998,0.2,-2.1770780000000002e-16,-3.8848e-15,0.001,0.0,5.5104741895708906e-17
12589.25,0.2,-2.1770780000000002e-16,-4.3588e-15,0.001,0.0,5.510451901018356e-17
14125.38,0.2,-2.1770780000000002e-16,-4.8907e-15,0.001,0.0,5.510500108170772e-17
15848.929999999998,0.2,-2.1770780000000002e-16,-5.487400000000001e-15,0.001,0.0,5.5104466656264286e-17
17782.789999999997,0.2,-2.1770780000000002e-16,-6.1570000000000005e-15,0.001,0.0,5.510479427675859e-17
19952.62,0.2,-2.1770780000000002e-16,-6.9082000000000005e-15,0.001,0.0,5.510425086366761e-17
22387.21,0.2,-2.1770780000000002e-16,-7.7512e-15,0.001,0.0,5.51047582478522e-17
25118.86,0.2,-2.1770780000000002e-16,-8.6969e-15,0.001,0.0,5.510419758603315e-17
28183.83,0.2,-2.1770780000000002e-16,-9.758100000000002e-15,0.001,0.0,5.5104286755385067e-17
31622.78,0.2,-2.1770780000000002e-16,-1.0948800000000002e-14,0.001,0.0,5.5104441827206344e-17
