scale,alpha,N,tpd_ps
m,1.5,24,92.670
m,2,14,64.010
m,2.5,11,57.350
m,3,9,53.330
m,3.25,9,55.220
m,3.5,8,52.310
m,3.6,8,52.980
m,3.7,8,53.690
m,3.75,8,54.060
m,3.8,8,54.440
m,3.9,8,55.260
m,4,7,51.240
m,4.5,7,53.830
m,5,6,51.930
m,6,6,56.470
m,7,5,56.150
m,8,5,59.550
m,9,5,63.470
m,10,5,68.010
m,14000,1,15780.000
w,1.5,24,5729.000
w,2,14,2234.000
w,2.5,11,2701.000
w,3,9,1229.000
w,3.25,9,4208.000
w,3.5,8,1125.000
w,3.6,8,1638.000
w,3.7,8,2371.000
w,3.75,8,2845.000
w,3.8,8,3408.000
w,3.9,8,4861.000
w,4,7,478.900
w,4.5,7,1808.000
w,5,6,286.800
w,6,6,1530.000
w,7,5,188.200
w,8,5,462.400
w,9,5,1108.000
w,10,5,2502.000
w,14000,1,10970.000
