scale,alpha,N,tpd_ps
m,1.5,30,115.900
m,2,18,82.070
m,2.5,13,69.190
m,3,11,65.940
m,3.25,11,68.300
m,3.5,10,65.930
m,3.6,10,66.790
m,3.7,10,67.760
m,3.75,9,63.820
m,3.8,9,64.100
m,3.9,9,64.700
m,4,9,65.460
m,4.5,8,64.490
m,5,8,67.720
m,6,7,68.870
m,7,7,75.210
m,8,6,74.250
m,9,6,79.360
m,10,6,85.230
m,140000,1,155300.000
w,1.5,30,710500.000
w,2,18,537500.000
w,2.5,13,101500.000
w,3,11,93700.000
w,3.25,11,432800.000
w,3.5,10,159300.000
w,3.6,10,261000.000
w,3.7,10,420200.000
w,3.75,9,39670.000
w,3.8,9,48760.000
w,3.9,9,73180.000
w,4,9,108500.000
w,4.5,8,34950.000
w,5,8,149300.000
w,6,7,53540.000
w,7,7,319900.000
w,8,6,25940.000
w,9,6,83220.000
w,10,6,234600.000
w,140000,1,2.381
